009_K20 2019/01/09 331.542 -8.96814
020_K20 2019/01/20 497.812 1.39832
020_K20 2019/01/20 320.712 -2.20845
027_K20 2019/01/27 641.461 1.92571
043_K20 2019/02/12 867.567 3.39434
068_K20 2019/03/09 412.864 0.992793
074_K20 2019/03/15 169.682 -1.80099
086_K20 2019/03/27 155.872 -2.04912
087_K20 2019/03/28 154.661 -0.69572
091_K20 2019/04/01 192.691 -0.981912
100_K20 2019/04/10 407.9 -0.044067
111_K20 2019/04/21 419.662 1.62515
112_K20 2019/04/22 273.333 -5.69725
250_K20 2018/09/07 158.446 0.351254
256_K20 2018/09/13 401.783 2.21091
263_K20 2018/09/20 683.562 0.65875
267_K20 2018/09/24 416.29 2.65582
299_K20 2018/10/26 902.416 3.07639
301_K20 2018/10/28 179.723 -1.05477
302_K20 2018/10/29 440.79 2.90386
302_K20 2018/10/29 435.359 -3.88945
303_K20 2018/10/30 300.022 -7.16922
312_K20 2018/11/08 251.487 1.3611
313_K20 2018/11/09 403.995 1.15046
318_K20 2018/11/14 293.171 0.519337
318_K20 2018/11/14 181.336 -0.056719
346_K20 2018/12/12 275.503 -4.92573
001_K20 2019/01/01 430.028 0.345
008_K20 2019/01/08 320.59 -8.1054
009_K20 2019/01/09 331.542 -8.96814
020_K20 2019/01/20 497.812 1.39832
020_K20 2019/01/20 320.712 -2.20845
027_K20 2019/01/27 641.461 1.92571
043_K20 2019/02/12 867.567 3.39434
068_K20 2019/03/09 412.864 0.992793
074_K20 2019/03/15 169.682 -1.80099
086_K20 2019/03/27 155.872 -2.04912
087_K20 2019/03/28 154.661 -0.69572
091_K20 2019/04/01 192.691 -0.981912
100_K20 2019/04/10 407.9 -0.044067
111_K20 2019/04/21 419.662 1.62515
112_K20 2019/04/22 273.333 -5.69725
161_K20 2019/06/10 328.09 -8.15459
250_K20 2018/09/07 158.446 0.351254
256_K20 2018/09/13 401.783 2.21091
263_K20 2018/09/20 683.562 0.65875
267_K20 2018/09/24 416.29 2.65582
299_K20 2018/10/26 902.416 3.07639
301_K20 2018/10/28 179.723 -1.05477
302_K20 2018/10/29 440.79 2.90386
302_K20 2018/10/29 435.359 -3.88945
303_K20 2018/10/30 300.022 -7.16922
312_K20 2018/11/08 251.487 1.3611
313_K20 2018/11/09 403.995 1.15046
318_K20 2018/11/14 293.171 0.519337
318_K20 2018/11/14 181.336 -0.056719
346_K20 2018/12/12 275.503 -4.92573
001_K20 2019/01/01 430.028 0.345
008_K20 2019/01/08 320.59 -8.1054
009_K20 2019/01/09 331.542 -8.96814
020_K20 2019/01/20 497.812 1.39832
020_K20 2019/01/20 320.712 -2.20845
027_K20 2019/01/27 641.461 1.92571
043_K20 2019/02/12 867.567 3.39434
068_K20 2019/03/09 412.864 0.992793
074_K20 2019/03/15 169.682 -1.80099
086_K20 2019/03/27 155.872 -2.04912
087_K20 2019/03/28 154.661 -0.69572
091_K20 2019/04/01 192.691 -0.981912
100_K20 2019/04/10 407.9 -0.044067
111_K20 2019/04/21 419.662 1.62515
112_K20 2019/04/22 273.333 -5.69725
161_K20 2019/06/10 328.09 -8.15459
161_K20 2019/06/10 894 4.55101
250_K20 2018/09/07 158.446 0.351254
256_K20 2018/09/13 401.783 2.21091
263_K20 2018/09/20 683.562 0.65875
267_K20 2018/09/24 416.29 2.65582
299_K20 2018/10/26 902.416 3.07639
301_K20 2018/10/28 179.723 -1.05477
302_K20 2018/10/29 440.79 2.90386
302_K20 2018/10/29 435.359 -3.88945
303_K20 2018/10/30 300.022 -7.16922
312_K20 2018/11/08 251.487 1.3611
313_K20 2018/11/09 403.995 1.15046
318_K20 2018/11/14 293.171 0.519337
318_K20 2018/11/14 181.336 -0.056719
346_K20 2018/12/12 275.503 -4.92573
001_K20 2019/01/01 430.028 0.345
008_K20 2019/01/08 320.59 -8.1054
009_K20 2019/01/09 331.542 -8.96814
020_K20 2019/01/20 497.812 1.39832
020_K20 2019/01/20 320.712 -2.20845
027_K20 2019/01/27 641.461 1.92571
043_K20 2019/02/12 867.567 3.39434
068_K20 2019/03/09 412.864 0.992793
074_K20 2019/03/15 169.682 -1.80099
086_K20 2019/03/27 155.872 -2.04912
087_K20 2019/03/28 154.661 -0.69572
091_K20 2019/04/01 192.691 -0.981912
100_K20 2019/04/10 407.9 -0.044067
111_K20 2019/04/21 419.662 1.62515
112_K20 2019/04/22 273.333 -5.69725
161_K20 2019/06/10 328.09 -8.15459
161_K20 2019/06/10 894 4.55101
164_K20 2019/06/13 265.865 -4.69214
250_K20 2018/09/07 158.446 0.351254
256_K20 2018/09/13 401.783 2.21091
263_K20 2018/09/20 683.562 0.65875
267_K20 2018/09/24 416.29 2.65582
